P08144037A0000|0 10|Thioredoxin
P02562787A0637|40 43|CNBP
P02482293A1518|40 42|TNF
P07021505A0510|40 42|DPB
P08605705A0676|40 42|CIC
P08383214A0389|40 42|Pol
P09524250A0767|40 42|AP1
P09882334A0822|40 42|FLK
P02204029A0184|40 42|unr
P08454591A1322|40 42|TNF
P01681075A0429|40 42|min
P02505087A1037|40 42|Fos
P08896272A0000|40 42|arm
P00101300A0257|40 41|T2
P08114745A0953|40 41|La
P01751255A0529|40 40|p
P08413239A0490|40 40|N
P11040219A0548|40 40|N
P09092675A0283|40 40|A
P10767338T0000|41 46|ATP2C1
P10064604A0824|41 46|TFIIIA
P08139543A1520|41 45|NHP6A
P11027280A0536|41 45|Smad2
P01532796A0107|41 44|step
P09010223A0667|41 44|FLI1
P11007949A1395|41 44|PTEN
P01505488A0231|41 43|EVL
P09010223A1850|41 43|SRF
P09755199A0373|41 43|Scm
P08631760A0609|41 43|Crk
P09880029A0703|41 43|Rep
P08655497A0000|41 43|min
P01594554A0845|41 43|CCK
P08269424A0339|41 43|TRH
P09287362A0589|41 43|csk
P09089653A0615|41 42|nt
P07780148A1153|41 41|S
P10699896A0455|41 41|P
P02113699A0372|41 41|N
P10637149A0806|41 41|p
P03710973A0817|41 41|P
P09609720A0357|41 41|N
P07957632A0000|41 41|R
P07761091A0294|42 52|phosphatase
P08816482A0234|42 47|Stat5b
P10510379A0105|42 46|STAT6
P01855255T0000|42 45|RCC1
P10037681A0494|42 45|PLD1
P02326946T0000|42 45|LCAT
P03443609A0000|42 44|SFC
P06705456A0346|42 44|min
P09710614T0000|42 44|CD2
P09032267A0850|42 44|CBP
P01321277A0342|42 44|ros
P01420177A1065|42 44|Ser
P08675763A0788|42 44|Met
P11314030A1264|42 44|Crk
P11070078A1153|42 44|p53
P11113179A0541|42 44|CBP
P11029700A0746|42 43|Os
P10708769A0433|42 43|ER
P01418834A0987|42 42|P
P09311568A0595|42 42|Q
P03000457A1554|42 42|h
P09498769A0095|42 42|B
P07933116A0412|42 42|B
P08412120A0839|42 42|P
P07642544A0868|43 53|phosphatase
P00221725A0523|43 52|peroxidase
P10541865A1301|43 48|CDKN2B
P01549125A0140|43 46|IAPP
P07754713A0227|43 46|CRY2
P09211913A0000|43 46|ARNT
P02069873X0000|43 45|vav
P08496184A0772|43 45|min
P10833461A0603|43 45|PAC
P09844106A0835|43 45|FLG
P09931191A0434|43 45|Con
P10587460A0302|43 45|VDR
P03759731A0992|43 44|m2
P10681588A0899b|43 44|C6
P10681588A0899a|43 44|C6
P09369450A1358|43 44|GR
P09617765A0174|43 44|nt
P07583562A1826|43 44|TG
P07499401A0444|43 43|H
P10924061A0588|43 43|h
P10786742A0670|43 43|h
P10527180A0869|43 43|P
P09376626A0737|43 43|h
P07973397T0001|44 47|salt
P10454550A0960|44 47|Reg1
P10683244A1860|44 47|CFTR
P11250942A0626|44 47|RAC3
P08896280A0860|44 47|IME1
P01324172A0880|44 47|RIM1
P09215891A0000|44 47|CIN2
P08666398T0000|44 47|CLN3
P10724483A0540|44 47|SRP1
P10330396A0387|44 47|CRM1
P10933728A1398|44 47|CBF2
P02088781A0653|44 46|fog
P10370675A0649|44 46|HCC
P10706475A0644|44 46|DSP
P02532032A0385|44 46|PAC
P09712037A0470|44 46|Fyn
P08879080A0265|44 46|fit
P07670943A0308|44 46|CAD
P01930470A0337|44 46|PTH
P11158295A0158|44 46|Csk
P08524292A1022|44 46|YY1
P01543909A0787|44 45|Lg
P09150595A0225|44 45|HR
P10713161A0985|44 45|ts
P01448917A0775|44 45|aa
P08676495A0129|44 45|nt
P09570944T0000|44 45|Mb
P07622058A0411|44 45|aa
P01295373A0651|44 44|A
P07857344A0591|44 44|h
P07107773A0000|44 44|m
P09331864A0230|44 44|d
P08317094A0778|44 44|A
P06095372A0435|44 44|h
P08710377A0577|45 48|Grb2
P08990168A0688|45 48|JAK1
P11029700A0746|45 48|CycH
P01695116A0078|45 47|CR1
P07958446A0000|45 47|fkh
P11027724A0335|45 47|Ser
P09652736A1205|45 47|p53
P09321930A0567|45 47|p53
P09832504A0596|45 47|Tat
P04160980T0000|45 47|dog
P02597484A0624|45 46|De
P01518833A0397|45 45|A
P11686239A0464|45 45|T
P04627477T0001|45 45|H
P08336543A0243|45 45|A
P10856491A0178|45 45|s
P08838805T0000|46 51|CTNNB1
P10380878A0542|46 49|Bin1
P09990507A0763|46 49|Pop2
P11113199A0800|46 49|lack
P09447962A1027|46 49|XRN1
P08497269A0999|46 49|GCN1
P07851758A0330|46 49|TPK2
P10713175A1399|46 49|Mdm2
P08918456A0455|46 49|AP-2
P08037338A0000|46 48|EPO
P09435056A0128|46 48|Cys
P09264466A0947|46 48|APC
P09371626A1345|46 48|VP2
P07916327A0250|46 48|GSC
P11169080T0000|46 48|Bok
P10721714A1087|46 48|Sp1
P09209312A0968|46 47|nt
P01487144A0505|46 46|A
P07583562A1826|46 46|P
P09092675A0283|46 46|U
P09763470A1756|47 52|Phox2a
P01674817A0862|47 51|RNA14
P08910292T0000|47 51|Cdc42
P01334428A1102|47 50|poly
P07537736A0453|47 50|PRLR
P01832152A0902|47 50|ORF1
P07449221A0086|47 50|slip
P07897696A0000|47 50|ALAD
P07588777A1524|47 49|CTD
P10221820A0902|47 49|AMT
P09945838T0000|47 48|Ga
P03249840A0411|47 47|s
P11181548A0214|47 47|s
P11431472A0540|47 47|d
P07592072A0217|47 47|d
P09311568A0595|47 47|S
P10645921A1320|47 47|P
P08844712A0000|47 47|A
P09533030T0000|48 61|oxidoreductase
P02483210A0000|48 53|lipase
P09367676A1115|48 53|Tbxas1
P11160896A0713|48 52|Smad2
P11309400T0000|48 52|decay
P07588240A0000|48 52|ced-3
P07553942A0810|48 51|cox3
P11513579A0372|48 51|Rac1
P08316209A0000|48 51|CYS3
P08885270A0428|48 51|PAO1
P11340080A0096|48 51|Rad1
P07636962A1883b|48 51|GAL4
P09046384A0403|48 50|CD4
P10228009A0600|48 50|TNF
P09813041A1122|48 50|Jun
P09802206A1058|48 50|TEF
P00425547A0000|48 49|os
P06336045A0261a|48 49|SA
P09645942A1164|48 49|8S
P06336045A0261b|48 49|SA
P08278929A0866|48 49|ml
P10742114A0486|48 49|pu
P09472616A1004|48 48|B
P09669641A0425|49 55|amylase
P10453006A0478|49 53|PSMB9
P11027280A0536|49 53|Smad4
P07623840A0352|49 52|GCN2
P07852400A0519|49 52|Rac2
P09252406A0511|49 52|Grb2
P01312005A0600|49 52|MDP1
P11038366A1417|49 52|PP2A
P11094073A0000|49 52|Vav3
P03714348A0833|49 51|CIC
P11193045A1193|49 51|p53
P11164078A0833|49 51|man
P01546522A0000|49 51|PML
P09769910A1700|49 51|TNF
P01383690A1023|49 51|BCR
P08550425A1401|49 51|POR
P09321930A0567|49 51|DCC
P00665053A0276|49 50|H1
P08294429A0153|49 50|FR
P08905819A0531|49 50|sm
P01766876A0000|49 50|mu
P02330333A0325|49 50|Ga
P02691557A0273|49 49|h
P09913308T0000|49 49|J
P09311568A0595|49 49|A
P07675445A0463|49 49|p
P11227039A0953|49 49|P
P11509266A0955|49 49|P
P01895370A0199|49 49|D
P00054900A0226|50 57|esterase
P11056007A0224|50 56|stretch
P09922856A0459|50 54|patch
P09790771A1032|50 53|Gng3
P08637717A1231|50 53|PCNA
P10652362A0933|50 53|CFTR
P11084649A0497|50 53|side
P02055484A0538|50 53|ATG2
P08415643A0555|50 53|RCC1
P09381950A0209|50 52|min
P09405685A0113|50 52|p53
P06252883A0100|50 52|H10
P01846803A0688|50 52|Tyr
P08933487A0325|50 52|run
P11333268A1521|50 52|Sos
P09881692A0094|50 51|b6
P07864652A0753|50 51|H1
P09936001T0000|50 51|Ga
P03395164A0000|50 51|FU
P11159363A1251|50 50|m
P01400401A0065|50 50|L
P01371275T0000|50 50|H
P11027289A0000|50 50|s
P06487290A0000|50 50|P
P07995173A0585|50 50|r
P09556573A1062|50 50|S
P10438941A1197|50 50|B
P09845662A0085|51 58|collagen
P09858581A0183|51 56|SPP381
P08034741A0000|51 56|myosin
P10407269A0000a|51 55|cdc14
P11241356T0000|51 55|Smad3
P10407269A0000b|51 55|cdc14
P01970801A0925|51 54|OSBP
P10395827A1297|51 54|coil
P11044105A0616|51 54|ESS1
P10497874A0925|51 54|PIP2
P02107548A0727|51 54|poly
P08702728A1325|51 53|Shc
P10544088A0308|51 53|CAT
P08878573A1370|51 53|ATO
P02802280A0495|51 53|PTS
P09366517A1828|51 53|WT1
P09789025A0149|51 53|SRF
P08668190A1364|51 51|H
P06468565A0000|51 51|N
P02838319A0527|51 51|p
P07757315A1227|51 51|h
P11046517A0619|51 51|Z
P10677214A1045|51 51|k
P11000250A0200|52 56|TRADD
P08114702A0000|52 55|MEF2
P01256410T0001|52 55|term
P02705296A0231|52 55|ORF1
P01334428A1102|52 54|Glu
P01321277A0342|52 54|SRC
P02158099A0487|52 54|CCL
P09482107A0551|52 54|C3G
P09268387A0293|52 54|ELL
P11012680A0676|52 54|Src
P11278848A1316|52 54|Sp1
P08902214A1486|52 54|PRL
P09445056A0215|52 54|bis
P08479742A0985|52 54|p53
P08675395A0751|52 54|fit
P03004364A0775|52 54|ADM
P09382886A1061|52 54|PKD
P07959015A0478|52 53|aa
P02044975A0380|52 52|P
P08639561T0000|52 52|R
P04084607A0663|52 52|N
P02928112T0000|52 52|A
P02027839A0250|52 52|P
P10706887A0281|52 52|t
P07490079T0000|53 63|phosphatase
P11278563A0917|53 57|Grb14
P02405393T0000|53 56|ETS2
P07537362A1112|53 56|Eps8
P08977235A0134|53 56|JAK1
P11340080A0096|53 56|Hus1
P09255349A0836|53 56|IRA1
P08723883A1684|53 55|hay
P11287611A0802|53 55|PGD
P09321930A0567|53 55|APC
P02257899T0000|53 55|man
P09800187A0100|53 55|Tk1
P09209312A0968|53 54|nt
P11524015A0937|53 54|nt
P07021505A0510|53 53|P
P09371657A0165|53 53|A
P08641705A0986|53 53|A
P10556595A0391|53 53|T
P10417331A1008|53 53|k
P11056019A0926|53 53|N
P10564280A0140|54 60|YT521-B
P04239041T0045|54 59|ATPase
P07863047A0229|54 57|COPD
P09514159A0562|54 57|Ptx1
P09447963A0223|54 57|SC35
P11560992A0651|54 57|MKK7
P10913304A0894|54 57|SAP1
P08643633A1187|54 57|CBF1
P10331646A0595|54 57|ART5
P05787318T0000|54 56|man
P01983026A0483|54 56|min
P09609342A0000|54 56|CFP
P11035037A0183|54 56|TBP
P07890674A0916|54 56|APC
P09230384A0725|54 55|MB
P08193147A0831|54 55|Dg
P03181276A0422|54 54|h
P10007564T0000|54 54|W
P06503329A0588|54 54|g
P10642524A0156|54 54|N
P02153683A1579|55 61|ankyrin
P01371275T0000|55 60|ATPase
P10660069A0819|55 58|HOG1
P10329736A1106|55 58|SHP2
P09010223A0667|55 58|ETS1
P07487067A0592|55 58|APS1
P07565723A0200|55 57|CTD
P09883639A0000|55 57|NTM
P09020169A0552|55 57|AHR
P08842143A0000|55 57|hup
P10364202A0646|55 57|DBP
P08878045A0606|55 57|CTD
P08076631A0000|55 57|VDR
P10490604A0601|55 57|Fyn
P08661114A0564|55 57|SIM
P08057762A0878|55 56|T2
P11884014A0665|55 56|GI
P10592791A0370|55 56|SE
P10964995A2152|55 56|ER
P10193950A0478|55 56|T2
P06517816A0388|55 56|HR
P10864989A0484|55 55|p
P09151152A0174|55 55|p
P01878755A0496|55 55|P
P08630583A1056|55 55|Q
P08639561T0000|55 55|R
P11159363A1251|55 55|m
P07559233A0534|55 55|P
P11157334A1107|55 55|P
P09441746A0546|56 60|GPR39
P08824884A0000|56 60|FRAXE
P08921387A1182|56 59|EZH1
P11323411A0505|56 59|SHP2
P03300118A0392|56 59|pigs
P08621719A0568|56 59|Grb2
P08336698T0000|56 59|TFE3
P08955071T0000|56 59|ORC1
P10444597A0586|56 59|salt
P01334428A1102|56 58|Tyr
P09446600A0260|56 58|Ahr
P09426143A1358|56 58|CRP
P09049306A0830|56 58|arm
P01648142A1170|56 58|arm
P06395804A0382|56 58|min
P10447593A0144|56 58|SP6
P07791783A0000|56 58|HMG
P08304301A0331|56 58|HCC
P10756225A1464|56 58|CRS
P07079595A0848|56 58|spg
P11150315A0844|56 58|EGF
P11815644A0081|56 58|bat
P02928376A0312|56 57|H2
P09536901A0362|56 57|T2
P10196248A0482|56 57|nt
P01771959A0442|56 56|p
P09572428A0526|56 56|P
P02376023A0307|56 56|P
P01723962A0165|56 56|h
P02474356A0559|56 56|T
P10934640A1114|56 56|p
P08163498A0789|56 56|S
P11259503A0212|56 56|h
P02107548A0727|56 56|A
P11303638A0559|56 56|p
P09844106A0835|57 67|fibronectin
P06869986A0000|57 64|collagen
P09234703A0192|57 61|Cdc42
P07652575A0435|57 61|Cdc42
P08643382A0752|57 60|poly
P09067577A0721|57 60|CRKL
P07579695A0336|57 60|MIF2
P09230945A0089|57 60|slip
P08892755A0186|57 60|JAK1
P09321930A0567|57 59|MCC
P09202147A0866|57 59|UBC
P06895663A0810|57 59|RLF
P10824485A0393|57 59|CD4
P10541432A0185|57 59|EGF
P11376279A0000|57 58|MR
P10824958A1109|57 58|CO
P07528531A0904|57 58|rs
P09789795A0607|57 58|NA
P08923258A0353|57 57|d
P11125872A0133|58 74|phosphodiesterase
P09353304A0732|58 62|Tiam1
P08264591A1190|58 62|TFIIB
P02555519A0798|58 61|CDR3
P10805737T0000|58 61|eIF5
P11564893A1068|58 61|MGMT
P02603923A0220|58 61|pigs
P01506746A0476|58 61|pigs
P09303635A0000|58 61|lack
P10525413A1408|58 61|LIM2
P10891441A0871|58 61|Grb2
P09545638A0330a|58 61|HMT1
P06685004A0000|58 61|SHBG
P09545638A0330b|58 61|HMT1
P03340774A0328|58 60|rad
P08872162A0884|58 60|CD4
P08848052A0733|58 60|Rev
P10704975A0479|58 60|min
P10205933A0699|58 60|ear
P10049357A0608|58 60|Ski
P03743683A0000|58 59|PP
P11528127A1402|58 59|H1
P00512215A0000|58 58|L
P00985279A0493|58 58|h
P01372456A0426|58 58|h
P03143048A1091|58 58|P
P08445729A0657|59 65|stretch
P08990168A0688|59 63|STAT1
P10679922A1110|59 62|ING1
P11094066A1194|59 62|KIP1
P10913304A0894|59 62|Elk1
P07724452A0344|59 61|pen
P03659805A0404|59 61|uni
P10490604A0601|59 61|Lck
P10777586A1022|59 61|Sp1
P11463834A0606|59 61|CBP
P09642238A1285|59 61|Sp1
P04082267A0720|59 60|Ae
P10196248A0482|59 60|nt
P11024182A0781|59 60|AR
P01970984A0668|59 59|T
P03181276A0422|59 59|h
P11067928A0532|59 59|D
P07765118A0967|59 59|h
P11478627A0573|59 59|D
P07995173A0585|59 59|P
P05689427T0052|59 59|b
P08639561T0000|59 59|S
P08862743A0603|59 59|p
P09192786T0000|59 59|b
P02735364A1330|59 59|p
P08226780A0160|60 66|ankyrin
P08088777A0754|60 65|D2Mit1
P08385581A0126|60 65|REC114
P09535835A0279|60 64|Cdc42
P11535832A0586|60 64|HDAC9
P10395283A0960|60 64|Smad4
P01314953A1266|60 63|HAP2
P03417588T0000|60 63|corn
P09255349A0836|60 63|IRA2
P09010223A0667|60 63|ETS2
P07616569A0168|60 63|cox1
P08106398A1003|60 63|step
P09446616A0780|60 63|Jak1
P02308496A0000|60 62|STH
P10809233A0606|60 62|H12
P09000049A1341|60 62|Myc
P11023934A0855|60 62|chi
P09209312A0968|60 61|nt
P02462523A0394|60 61|su
P10364523T0000|60 61|Mb
P03732252A0556|60 60|r
P07704040A0000|60 60|P
P02291144A0493|60 60|H
P09226345A0436|60 60|p
P07079595A0848|60 60|r
P09331864A0848|60 60|d
P09243840A0663|61 68|HLA-DQA1
P09580563A0331|61 66|dynein
P09321930A0567|61 65|BRCA1
P02831556A0173|61 64|pain
P08620003T0000|61 64|step
P10556751A0758|61 64|lack
P01551568A1476|61 64|rpoB
P11113201A1114|61 64|step
P07525596A0584|61 64|Fpr3
P11258906A0743|61 64|Rec2
P08798635A0870|61 64|ARF1
P07542616A0313|61 64|GCN4
P08430095A0161|61 64|SMD1
P11340080A0096|61 64|Rad9
P10660069A0819|61 64|PBS2
P07782302A0479|61 63|Ran
P11886473A0796|61 63|nod
P09425036A0649|61 63|Lck
P07528746A1049|61 63|Ser
P01703335T0000|61 62|FK
P03335444A0000|61 62|Pu
P10499357A0439|61 62|FR
P02237431A0000|61 61|T
P08832146A0959|61 61|r
P09236656A0124|61 61|L
P02307613A0783|61 61|P
P08413205A0733|61 61|b
P09895323T0000|62 66|Hoxa3
P10572087A0326|62 66|FANCC
P08552096A0151|62 65|UBS1
P11139469A0402|62 65|Ang1
P11006283A1180|62 65|poly
P10890911A0470|62 65|LEF1
P08454077A0956|62 64|min
P09733794A1323|62 64|Bax
P02784507A0000|62 64|CD4
P08278929A0866|62 64|CRS
P09358069T0000|62 64|EPO
P10938102A1359|62 64|NS1
P09443978A0262|62 64|Sp1
P08849778A0598|62 64|tap
P02892762A0296|62 63|nt
P09735366A1180|62 63|Pc
P04086403A1016|62 62|P
P07607197A1048|62 62|P
P08643382A0752|62 62|A
P02562825A0413|62 62|p
P07449253A0411|62 62|h
P09543227A0815|62 62|B
P07704040A0000|62 62|H
P07499401A0444|62 62|H
P11533238A1137|63 67|HDAC1
P08645219A1377|63 67|MRP14
P08657183A0145|63 66|DHFR
P10938113A0388|63 66|Vav3
P09601516A0695|63 66|PEP1
P09819440A0783|63 66|RPB5
P10891441A0871|63 66|Sos1
P08077236A0243|63 66|COS1
P08601616A0726|63 66|step
P01426635A0496|63 65|DDC
P09150334A0559|63 65|min
P10920906A0759|63 65|STS
P10648619A0000|63 65|TBP
P08756712A0227|63 65|RPA
P09474648A0298|63 65|Paf
P09798100A0705|63 64|IM
P10488875A0000|63 64|CP
P01499616A0136|63 63|g
P10624787A0432|63 63|P
P08441411A1260|63 63|h
P07184375T0001|63 63|P
P09242499A0505|63 63|d
P10417331A1008|63 63|s
P07840643A1006|64 83|glycosylasparaginase
P11095248A0423|64 75|glycoprotein
P08226616A0000|64 72|reductase
P08621730T0000|64 71|collagen
P11007949A1607|64 67|PTEN
P11471077A0382|64 67|TRA1
P02757033A0905|64 66|arm
P09990315A0205|64 66|TPO
P07490766T0000|64 66|Max
P08647434A1124|64 66|TBP
P06698047A0445|64 66|TRH
P02807780A0143|64 66|min
P09448268A0186|64 66|nmo
P08127950A0000|64 66|HPT
P11313398A0687|64 65|PI
P09508511A0588|64 65|os
P09352127A0953|64 65|rs
P09903722T0000|64 65|H2
P11150439A0701|64 65|CO
P02712450A0989|64 64|p
P10328351A0443|64 64|d
P11416132A1351|64 64|d
P08413260A1437|64 64|s
P11538437A0568|64 64|A
P11108616A0000|64 64|g
P09694514A0000|65 73|G-protein
P11350175A0173|65 73|isomerase
P01516829A0460|65 68|SNF2
P09436989A1011|65 68|MOB1
P09838122A0489|65 68|MPP3
P02167784A0109|65 67|min
P09065463A1012|65 67|RPA
P10777217A0536|65 67|p53
P08284227A0336|65 67|Id1
P01295373A0651|65 66|SE
P09420269A0000|65 66|nt
P07947930A0499|65 66|Cm
P11863811A0259|65 66|Pr
P08958720A1204|65 66|HR
P03597269A0409|65 65|b
P01725547A0354|65 65|p
P07528531A0904|65 65|P
P06794480A0785|65 65|p
P09767504A1371|65 65|h
P07528746A1049|65 65|P
P09376626A0737|65 65|h
P06321770A1353|65 65|h
P02829183A0117|66 76|translocase
P09467900A0701|66 72|stretch
P10660304A0522|66 70|STAT3
P01452037A0000|66 70|GAPDH
P01314953A1266|66 69|HAP3
P02386895A0496|66 69|pain
P11323411A0505|66 69|Gab1
P09353343A0919|66 69|poly
P10748113A0187|66 69|RIM1
P09060622A1679|66 69|poly
P08798635A0870|66 69|ARF3
P03340548A1018|66 68|Cd2
P09712898T0000|66 68|Jun
P10407269A0000a|66 68|arm
P10407269A0000b|66 68|arm
P08001966A0563|66 68|CNC
P11271297T0000|66 67|FK
P01909960A0134|66 67|NA
P10369775A0178|66 67|ER
P04079738A0677|66 66|P
P01333317A1008|66 66|s
P10453006A0478|67 72|PSMB11
P07528325A0165|67 71|Stat1
P09336455A0000|67 71|GAL10
P03434347A0358|67 70|side
P07852400A0519|67 70|Rac1
P01373374A0735|67 70|GBF1
P08401614A0187|67 70|PAL2
P08756712A0227|67 69|RPA
P09047252A0209|67 69|HCC
P10087993A1352|67 69|BP2
P09067577A0307|67 69|CRK
P06830033A0661|67 69|min
P09621372A0369|67 69|CRP
P11007954A0170|67 69|Sos
P10329736A1106|67 69|Shc
P11504709A0981|67 69|TPO
P08063108A0109|67 68|aa
P10852485A0477|67 68|CS
P09821978A1255|67 68|SE
P09599102A1191|67 68|Cu
P11523446A0523|67 68|MS
P00564943A0444|67 67|T
P09549179A0774|67 67|p
P09192998A0356|67 67|T
P07079595A0848|67 67|P
P11334124A0903|67 67|h
P10939030A0986|67 67|p
P11006283A1180|67 67|A
P10677214A2842|67 67|H
P09861099A1011|67 67|r
P08432696A1117|68 75|protease
P07926748A0383|68 71|NOT3
P02543679A1291|68 71|DnaJ
P08264631A0746|68 71|ADR1
P00493818A0422|68 70|fit
P09822602A1172|68 70|CBP
P09572491A1044|68 70|p53
P07733075A1200|68 70|CBS
P08240170A0000|68 70|sea
P08088777A0754|68 70|Dbh
P07221179A0156|68 70|min
P10729220A1569|68 70|H19
P03335651A0000|68 69|MR
P07461848A0230|68 69|CO
P03732252A0556|68 68|P
P08129955A0572|68 68|h
P00602622A0362|68 68|p
P10556145A1034|68 68|p
P11241215A0566|69 79|thioredoxin
P01711048T0000|69 74|COL1A2
P08647086T0000|69 72|Cdk2
P09326317A0372|69 72|EXT1
P01907941A0275|69 71|Rel
P10529354A0375|69 71|20S
P09480843A0848|69 71|GCT
P03568311A0273|69 71|RAP
P11069756A2618|69 71|CSK
P02764797A0182|69 70|rf
P09514156A1147|69 70|GC
P08413205A0733|69 69|c
P09549179A0774|69 69|p
P11881923A1256|69 69|P
P09024039A0247|69 69|h
P10983857A0923|69 69|H
P10457075A1198|69 69|P
P08832146A0959|69 69|p
P09090054A0186|70 77|permease
P08937989A1365|70 74|actin
P09346935A0459|70 74|ZNF74
P01516829A0460|70 73|SNF5
P06714298X0000|70 73|pigs
P10751398A1135|70 73|CD40
P10557072A0127|70 73|ULK1
P10903837A1208|70 73|VSX1
P10603349A1667|70 73|Myf5
P08955402A0288|70 73|HOL1
P10544037A0617|70 73|FZD4
P07557446T0000|70 73|poly
P02744123A0237|70 72|man
P10965135A0735|70 72|ras
P08798643T0000|70 72|Cbl
P10675331A0600|70 72|Shc
P07934666A0158|70 71|T2
P11480490A0443|70 71|Kr
P02162103A0000|70 70|P
P09276882A0479|70 70|P
P02120707A0594|70 70|W
P02632904A0619|70 70|r
P11360190A0178|70 70|S
P08051102A0532|70 70|B
P11538437A0568|70 70|A
P08552670A0665|70 70|d
P09846033A0488|70 70|p
P11737900A0700|70 70|P
P01901859A0000|71 89|glycosyltransferase
P11589568A0744|71 74|Bub1
P08798635A0870|71 74|ARF5
P01326329A0703|71 74|lack
P08139562A0404|71 74|GCN4
P08618433A0000|71 74|FLT3
P08621384A0935|71 74|EGFR
P03791645A1124|71 73|MAL
P08751635A0135|71 73|CA3
P10413676A1193|71 73|Ser
P09305755A0540|71 73|Sp1
P11573891A0525|71 73|TST
P10024882A0541|71 73|CTD
P02692881A0354|71 73|PIH
P11007954A0170|71 73|Son
P03340774A0328|71 72|Gy
P11028131A1374|71 72|MS
P11677363A0775|71 72|PP
P09990507A0000|71 72|E3
P09060622A1679|71 71|A
P11432112A0000|71 71|h
P09353343A0919|71 71|U
P03048024A0418|71 71|p
P06694380A1483|71 71|P
P11023934A0855|71 71|P
P08088777A0754|72 77|Notch1
P11207282A0729|72 77|Notch2
P09735366A1180|72 75|Epc1
P03692331A0000|72 75|term
P10364523T0000|72 75|SOX9
P02936284A0357|72 74|man
P10369926A0251|72 74|IL8
P04101003T0001|72 74|man
P10828022A0877|72 74|Shb
P10074921A1169|72 74|p53
P10679065A1217|72 74|CAT
P09822652A1118|72 74|Sp1
P10521450A0437|72 74|Lyn
P03684378A0653|72 72|r
P11840365A0949|72 72|P
P11886473A0796|72 72|p
P02354381A0207|72 72|S
P07247059A0775|72 72|s
P06662623A0124|72 72|h
P01372456A0426|72 72|h
P08435755A0938|72 72|h
P01761736A0158|72 72|P
P09712919A0307|72 72|s
P11259503A0212|73 82|luciferase
P08621730T0000|73 78|COL1A2
P09826434T0000|73 77|PDE3A
P02595451A1136|73 76|TCL2
P09655916A0415|73 76|side
P08918934A0424|73 76|NTF2
P10611320A0816|73 76|CAK1
P06897114A0240|73 75|CAP
P08970984A0765|73 75|SRF
P09844106A0835|73 75|ST2
P11554727A0890|73 75|PTH
P03355122A0238|73 75|min
P03443566A0675|73 74|CR
P11145813A0668|73 74|C6
P09528768A0000|73 74|ER
P07890485A0827|73 74|ml
P08569443A0123|73 74|T2
P08317094A0778|73 74|nt
P07945134A0079|73 74|ft
P03818866A0116|73 73|r
P10216052A1682|73 73|r
P11677839A0876|73 73|p
P07865787A1086|73 73|s
P09352127A0953|73 73|P
P09861099A1011|73 73|P
P09465035A1032|73 73|L
P08386637A1220|73 73|h
P08413205A0733|73 73|d
P10623758A0947|74 91|beta-galactosidase
P11376946A0000|74 84|phosphatase
P02733690T0000|74 82|reductase
P03065621T0000|74 78|MRP13
P11486032A1261|74 78|RUNX1
P11027280A0536|74 78|Smad3
P07498791A0680|74 77|PBS2
P08401614A0187|74 77|PAL3
P08139543A1520|74 77|SLT2
P10647817T0000|74 77|PTA1
P07896088A0720|74 77|RAP1
P07564210A0557|74 77|pigs
P10872831A0000|74 77|EPOR
P09799237A0624|74 77|term
P02507523A0791|74 77|ORF1
P01851527T0000|74 76|APP
P09571563A0000|74 76|PRK
P09712898A0911|74 76|GCK
P08892755A0981|74 76|CAT
P09832436T0000|74 76|PRL
P09067577A0721|74 76|C3G
P03978045A0857|74 76|VWF
P09566876A0000|74 76|TBP
P09880512A1251|74 76|Sp1
P07786820A0284|74 75|ml
P11044105A0616|74 75|nt
P11069791A0226|74 75|mo
P10348859A0292|74 75|Hg
P09459241A0707|74 74|P
P03608916A0790|74 74|P
P10934640A1114|74 74|p
P10683989A0251|74 74|P
P02196565A0606|75 78|RAP1
P09575217A0971|75 78|Jak2
P07983715A0996|75 77|arm
P11532856A1175|75 77|HGF
P09925777A1195|75 77|Rev
P03712106A0000|75 77|SPI
P08566751A0788|75 77|lab
P03759731A0992|75 76|m2
P00188387A0975|75 76|FH
P04036838A0918|75 75|r
P06467797A0233|75 75|D
P08669676A1644|75 75|P
P03602261A0238|75 75|p
P11178696A0301|75 75|s
P08901635A0000|75 75|s
P07557446T0000|75 75|A
P09463380A1050|76 80|Smad1
P01627830A0000|76 79|CKI1
P09813093A0624|76 79|GIN4
P11560992A0000|76 79|MKK4
P10544037A0617|76 79|FZD9
P10691972T0000|76 79|MRP2
P06341139A0213|76 78|min
P03568311A0273|76 78|IPP
P09382886A1061|76 78|p53
P07640309A0000|76 78|HMG
P11327858A0087|76 78|p53
P08990397A1437|76 78|H13
P08561897A0604|76 78|Sp1
P11054970A0282|76 78|NF1
P11474642A1451|76 78|min
P08144852A0000|76 78|AVP
P06198532A0982|76 77|MS
P10958456A0529|76 77|Cp
P10662614A0972|76 77|CP
P04002667A0181|76 77|cm
P07034479A1050|76 76|p
P10328351A0443|76 76|d
P11787720A1313|76 76|P
P03517388A0763|76 76|p
P10490826T0000|76 76|t
P08389365A1344|76 76|d
P09170159A0348|77 86|tyrosinase
P10600171A1432|77 80|USF1
P08524229T0000|77 80|SRS4
P10327051A0688|77 80|ATF2
P08985115A1571|77 80|step
P09878542A1151|77 79|VDR
P10215811A0635|77 79|EVL
P06281759A1086|77 79|sib
